λ, нм	n	T	R   Б-SiOAlLi (сто нм)            751
1074	1,4494	0,603240555	0,345220715
1075	1,4494	0,603709806	0,345235384
1076	1,4494	0,603910248	0,345098686
1077	1,4494	0,604149071	0,344990028
1078	1,4494	0,604318223	0,344948584
1079	1,4494	0,604217208	0,344726755
1080	1,4493	0,604790308	0,344659432
1081	1,4493	0,60515704	0,344474575
1082	1,4493	0,605261636	0,34417402
1083	1,4493	0,60510655	0,344038969
1084	1,4493	0,60527316	0,343909361
1085	1,4493	0,605780606	0,34361877
1086	1,4493	0,605733053	0,343659274
1087	1,4493	0,606144719	0,343676752
1088	1,4493	0,606687692	0,343648022
1089	1,4492	0,606837607	0,343572551
1090	1,4492	0,606651994	0,343313309
1091	1,4492	0,607352402	0,343257161
1092	1,4492	0,606392673	0,343017349
1093	1,4492	0,607222076	0,342859643
1094	1,4492	0,60732016	0,34277699
1095	1,4492	0,607799761	0,342719202
1096	1,4492	0,607866538	0,342624581
1097	1,4492	0,608045679	0,342330887
1098	1,4492	0,608747547	0,3423968
1099	1,4491	0,608859592	0,34221366
1100	1,4491	0,608859852	0,341972834
