λ, нм	n	T	R   Б-SiOAlLi (сто нм)            751
516	1,4614	0,378639683	0,186414197
517	1,4613	0,382823962	0,184123623
518	1,4613	0,38684565	0,181476287
519	1,4612	0,390862139	0,17824456
520	1,4612	0,395101916	0,175723871
521	1,4611	0,399225739	0,173208655
522	1,4610	0,403409922	0,170717827
523	1,4610	0,407554497	0,168073355
524	1,4609	0,411617404	0,16558265
525	1,4609	0,41565739	0,163115957
526	1,4608	0,419713753	0,160631897
527	1,4608	0,423809105	0,158204803
528	1,4607	0,427909142	0,155883125
529	1,4607	0,432064227	0,153460424
530	1,4606	0,436198335	0,151003687
531	1,4606	0,440318812	0,148745622
532	1,4605	0,444413701	0,146486765
533	1,4605	0,448427079	0,144184077
534	1,4604	0,452527496	0,14198221
535	1,4604	0,456712426	0,139821614
536	1,4604	0,460844116	0,137507825
537	1,4603	0,464961563	0,135490379
538	1,4603	0,469080762	0,133397338
539	1,4602	0,473034382	0,131872614
540	1,4602	0,477110247	0,129935631
541	1,4601	0,481854786	0,128347545
542	1,4601	0,486006424	0,12603045
543	1,4600	0,490050504	0,123758781
544	1,4600	0,493846624	0,1220716
545	1,4599	0,497692063	0,120291041
546	1,4599	0,501820588	0,118657695
547	1,4598	0,505701492	0,117016402
548	1,4598	0,509589866	0,115528835
549	1,4598	0,513568166	0,114072245
550	1,4597	0,517315764	0,112577204
551	1,4597	0,520958641	0,111095902
552	1,4596	0,524713385	0,109619788
553	1,4596	0,528651058	0,10828676
554	1,4595	0,532478915	0,106873915
555	1,4595	0,536305369	0,105551585
556	1,4595	0,540016201	0,104737726
557	1,4594	0,543480029	0,103509863
558	1,4594	0,547024325	0,102267283
559	1,4593	0,550725522	0,101246565
560	1,4593	0,554345422	0,100107379
561	1,4593	0,557922216	0,099064579
562	1,4592	0,561412663	0,098098028
563	1,4592	0,564649689	0,097146769
564	1,4591	0,56793134	0,09620793
565	1,4591	0,571304853	0,095380519
566	1,4591	0,5746656	0,094597414
567	1,4590	0,577860219	0,093765302
568	1,4590	0,581063311	0,09314642
569	1,4589	0,584160062	0,092464202
570	1,4589	0,587216589	0,0918502
571	1,4589	0,590270068	0,09128118
572	1,4588	0,593282594	0,090621887
573	1,4588	0,596223169	0,090260437
574	1,4588	0,599383381	0,089891605
575	1,4587	0,602248229	0,089541402
576	1,4587	0,604992713	0,089195226
577	1,4586	0,607772213	0,089014402
578	1,4586	0,610560903	0,08875724
579	1,4586	0,613220684	0,088616142
580	1,4585	0,615970048	0,088531107
581	1,4585	0,61858384	0,088534472
582	1,4585	0,62107451	0,088566102
583	1,4584	0,623379292	0,088585281
584	1,4584	0,625846192	0,088657317
585	1,4584	0,628256324	0,088845873
586	1,4583	0,630589802	0,08910536
587	1,4583	0,632831777	0,089410025
588	1,4582	0,635040422	0,089780203
